state,last_changed
903,2025-09-19T04:10:25.668Z
905,2025-09-19T04:10:35.696Z
897,2025-09-19T04:10:37.666Z
895,2025-09-19T04:10:39.660Z
872,2025-09-19T04:10:41.620Z
851,2025-09-19T04:10:43.592Z
840,2025-09-19T04:10:45.552Z
825,2025-09-19T04:10:47.527Z
813,2025-09-19T04:10:49.485Z
787,2025-09-19T04:10:57.579Z
753,2025-09-19T04:10:59.554Z
724,2025-09-19T04:11:01.507Z
702,2025-09-19T04:11:03.489Z
701,2025-09-19T04:11:05.450Z
704,2025-09-19T04:11:07.421Z
702,2025-09-19T04:11:09.387Z
712,2025-09-19T04:11:19.389Z
721,2025-09-19T04:11:21.355Z
724,2025-09-19T04:11:23.338Z
735,2025-09-19T04:11:25.292Z
734,2025-09-19T04:11:27.257Z
735,2025-09-19T04:11:29.242Z
739,2025-09-19T04:11:31.252Z
736,2025-09-19T04:11:33.174Z
738,2025-09-19T04:11:41.222Z
736,2025-09-19T04:11:43.209Z
734,2025-09-19T04:11:45.161Z
735,2025-09-19T04:11:47.121Z
733,2025-09-19T04:11:49.094Z
734,2025-09-19T04:11:51.074Z
737,2025-09-19T04:11:55.010Z
742,2025-09-19T04:12:03.048Z
746,2025-09-19T04:12:06.994Z
756,2025-09-19T04:12:08.953Z
759,2025-09-19T04:12:10.929Z
757,2025-09-19T04:12:12.902Z
763,2025-09-19T04:12:14.860Z
762,2025-09-19T04:12:16.829Z
758,2025-09-19T04:12:27.658Z
753,2025-09-19T04:12:29.658Z
749,2025-09-19T04:12:31.579Z
743,2025-09-19T04:12:33.557Z
735,2025-09-19T04:12:35.539Z
730,2025-09-19T04:12:37.490Z
719,2025-09-19T04:12:39.457Z
714,2025-09-19T04:12:47.509Z
706,2025-09-19T04:12:49.472Z
699,2025-09-19T04:12:51.453Z
694,2025-09-19T04:12:53.419Z
690,2025-09-19T04:12:55.374Z
688,2025-09-19T04:12:59.335Z
691,2025-09-19T04:13:01.292Z
689,2025-09-19T04:13:09.348Z
